appid,name,positive_ratings,negative_ratings,owners,reviews
10,Counter-Strike,124534,3339,20000000,0.9738881546534452
20,Team Fortress Classic,3318,633,10000000,0.8397873955960516
30,Day of Defeat,3416,398,10000000,0.8956476140534871
40,Deathmatch Classic,1273,267,10000000,0.8266233766233766
50,Half-Life: Opposing Force,5250,288,10000000,0.9479956663055255
60,Ricochet,2758,684,10000000,0.8012783265543288
70,Half-Life,27755,1100,10000000,0.9618783573037601
80,Counter-Strike: Condition Zero,12120,1439,20000000,0.8938712294416993
130,Half-Life: Blue Shift,3822,420,10000000,0.900990099009901
220,Half-Life 2,67902,2419,20000000,0.9656006029493324
240,Counter-Strike: Source,76640,3497,20000000,0.9563622296816702
280,Half-Life: Source,3767,1053,5000000,0.7815352697095436
300,Day of Defeat: Source,10489,1210,10000000,0.8965723566116762
320,Half-Life 2: Deathmatch,6020,787,20000000,0.8843837226384604
340,Half-Life 2: Lost Coast,5783,1020,20000000,0.8500661472879611
360,Half-Life Deathmatch: Source,1362,473,10000000,0.7422343324250681
380,Half-Life 2: Episode One,7908,517,10000000,0.9386350148367952
400,Portal,51801,1080,20000000,0.9795767856129801
420,Half-Life 2: Episode Two,13902,696,10000000,0.9523222359227291
440,Team Fortress 2,515879,34036,50000000,0.9381067983233773
500,Left 4 Dead,17951,948,10000000,0.9498386157997778
550,Left 4 Dead 2,251789,8418,20000000,0.9676488334287702
570,Dota 2,863507,142079,200000000,0.8587102445738107
620,Portal 2,138220,1891,20000000,0.9865035578933845
630,Alien Swarm,17435,941,5000000,0.9487919024814976
730,Counter-Strike: Global Offensive,2644404,402313,100000000,0.8679519627192155
1250,Killing Floor,53710,2649,5000000,0.9529977465888323
1510,Uplink,1602,152,1000000,0.9133409350057012
1840,Source Filmmaker,15083,1111,2000000,0.9313943435840435
1930,Two Worlds Epic Edition,2656,1055,2000000,0.7157100511991377
2100,Dark Messiah of Might & Magic,4386,316,2000000,0.9327945555082944
2200,Quake III Arena,1362,66,500000,0.9537815126050421
2270,Wolfenstein 3D,1773,87,500000,0.9532258064516129
2280,Ultimate Doom,3705,257,1000000,0.9351337708228168
2300,DOOM II,2517,182,1000000,0.9325676176361616
2310,QUAKE,2618,136,500000,0.9506172839506173
2320,QUAKE II,1369,107,500000,0.9275067750677507
2400,The Ship: Murder Party,4819,792,2000000,0.8588486900730707
2600,Vampire: The Masquerade - Bloodlines,6161,362,1000000,0.9445040625479074
2620,Call of Duty®,1555,117,500000,0.9300239234449761
